GEO_NAME_SHORT,LE,HALE,ULE,Ratio
United States of America,76.41474325,63.93276159333334,12.481981656666667,16.300631144280384
Australia,83.10282979666665,70.60647541,12.496354386666662,15.01905889788219
Liberia,63.45597355666666,53.97223427666666,9.48373928,14.928649084422384
Lebanon,74.36252248333334,63.25543345666667,11.107089026666666,14.878668362676393
New Zealand,82.19236105666667,69.97567159,12.21668946666667,14.842224899529205
